Group Number,Tutorial Group,Student ID,School,Name,Gender,CGPA
1,G-1,527,EEE,Mohit Desai,Male,4.06
1,G-1,2650,SoH,Nurul Shafika,Female,4.09
1,G-1,2326,CoB (NBS),Vivi Dwi,Female,3.95
1,G-1,1417,CoE,Darren Lee,Male,4.12
1,G-1,2230,CoB (NBS),Harlow Wang,Female,4.18
2,G-1,3861,ASE,Layla Torres,Female,4.52
2,G-1,2818,CoB (NBS),Oliver Tan,Male,4.09
2,G-1,567,CoB (NBS),Isabella Thompson,Female,4.03
2,G-1,4402,CCDS,Grace Turner,Female,4.08
2,G-1,2091,EEE,Adlan Bin Rahman,Male,4.24
3,G-1,3148,EEE,Gabriel Young,Male,3.88
3,G-1,71,SoH,Savannah Taylor,Female,4.19
3,G-1,162,SSS,Lila Patel,Female,4.07
3,G-1,3989,WKW SCI,Anthony Liu,Male,4.15
3,G-1,4479,CCDS,Amelia Kim,Female,4.11
4,G-1,2069,SSS,Kathy Lau,Female,4.48
4,G-1,5002,CCDS,Aarav Singh,Male,4.02
4,G-1,4563,WKW SCI,Anjali Patel,Female,4.01
4,G-1,2151,EEE,Mei Hong,Female,4.02
4,G-1,1329,NIE,Nguyen Van Sam,Male,3.85
5,G-1,288,CoB (NBS),Ajay Verma,Male,4.01
5,G-1,2417,SSS,Truong Minh Chau,Female,3.88
5,G-1,1841,MAE,Jett Morales,Male,4.12
5,G-1,235,CCDS,Ming Zhang,Male,4.06
5,G-1,592,MSE,Zara Chang,Female,4.11
6,G-1,5119,ADM,Nhung Vu,Female,4.04
6,G-1,1075,CoB (NBS),Felix Yip,Male,4.08
6,G-1,1555,MAE,Prerna Gupta,Female,4.04
6,G-1,3930,EEE,Xun Wei,Female,4.18
6,G-1,5708,SoH,Ananya Ramesh,Male,4.2
7,G-1,4520,EEE,Henry Foster,Male,4.11
7,G-1,1271,SSS,Priya Singh,Female,4.17
7,G-1,75,CCDS,Sakina Ahmed,Female,4.03
7,G-1,3628,EEE,Omer Ahmed,Male,4.06
7,G-1,659,SSS,Maria Ivanovna,Female,4.2
8,G-1,2353,SBS,Karen Wong,Female,3.95
